Region,Section,Metric,Value,Benchmark
East,Overview,Accounts contacted,1057,
East,Overview,Accounts engaged,500,
East,Overview,Cold,,
East,Overview,Key account CISOs contacted,18,
East,Overview,Total time with key account CISOs,96,
East,Details,Time communicating with customer per week,11,11
East,Details,Distict customers contacted per week,14,16
East,Details,Accounts within rep network,20,18
East,Details,Account contacts within rep network,46,40
East,Details,Accounts contacted,380,
East,Details,Accounts engaged,227,
East,Details,Accounts contacted per salesperson,9,
East,Details,Accounts engaged per salesperson,5,
East,Details,No contact,12,
East,Details,Email,4,
East,Details,Meetings,0
